2014-02-27 11:17:37.336 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 11:17:37.336 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 11:17:38.711 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 11:17:38.711 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 11:17:57.462 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 11:17:57.462 AM	Validate	**Start Validate***
2014-02-27 11:17:57.477 AM	Validate	**For each***
2014-02-27 11:17:57.477 AM	Validate	**For each***
2014-02-27 11:17:57.477 AM	Validate	**End Validate Myret True**
2014-02-27 11:17:57.477 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 11:17:57.477 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 11:17:57.477 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 11:17:57.477 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 11:17:57.477 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 11:17:57.493 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 11:17:57.493 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 11:18:01.165 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 11:18:01.180 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 11:18:58.916 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 11:18:58.916 AM	Validate	**Start Validate***
2014-02-27 11:18:58.916 AM	Validate	**For each***
2014-02-27 11:18:58.916 AM	Validate	**For each***
2014-02-27 11:18:58.916 AM	Validate	**For each***
2014-02-27 11:18:58.931 AM	Validate	**For each***
2014-02-27 11:18:58.931 AM	Validate	**For each***
2014-02-27 11:18:58.931 AM	Validate	**For each***
2014-02-27 11:18:58.931 AM	Validate	**End Validate Myret False**
2014-02-27 11:18:58.931 AM	ToolStripButton2_Click	**Validate False**
2014-02-27 11:18:58.931 AM	ToolStripButton2_Click	**End Submit***
